title,year,venue,doi,pdf_status,ai_role,control_base,optimized_parameters,objective,sensors,subjects,metrics,semantic_input_type,semantic_output_type,robot_closed_loop,parameter_mapping,implementation_difficulty,quick_paper_fit,relevance_score,why_relevant
Compensating elastic faults in a torque-assisted knee exoskeleton: functional evaluation and user perception study,2024,Journal of NeuroEngineering and Rehabilitation,10.1186/s12984-024-01531-6,open_access_pdf,参数优化器,"impedance control, PD/torque control, low-frequency optimizer","助力强度/Amplitude/torque profile, MO_Kp/MO_Kd/阻抗参数","comfort score, safety constraint",膝力矩/交互力矩,未从摘要确认,"comfort score, safety constraint",not semantic / not reported,"control/impedance parameters, trajectory or gait features, mode switching / intent",yes/likely,"Amplitude / assistive torque / SafeTorque, MO_Kp / MO_Kd / MO_OverwriteKpGain, SafeTorque / safety constraints",not applicable,not semantic route,81,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 MO_Kp/MO_Kd；可映射到 DMP Amplitude 和 SafeTorque 约束
Simulating human-in-the-loop optimization of exoskeleton assistance to compare optimization algorithm performance,2024,,10.1101/2024.04.05.587982,abstract_only,参数优化器,"low-frequency optimizer, high-level interface",助力强度/Amplitude/torque profile,metabolic cost,"IMU, 治疗师/语义输入",未从摘要确认,metabolic cost,therapist instruction / clinical goal,"control/impedance parameters, mode switching / intent",yes/likely,Amplitude / assistive torque / SafeTorque,medium,secondary angle only,80,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 DMP Amplitude 和 SafeTorque 约束；语义/治疗师输入可作为高层参数或模式选择接口，但优先级低于优化器和状态估计器；涉及本研究不使用的 EMG/IMU，仅作方法参考，不作为直接实现模板
Soft Wearable Robots: Development Status and Technical Challenges,2022,Sensors,10.3390/s22197584,manual_pdf,参数优化器,"impedance control, low-frequency optimizer","助力强度/Amplitude/torque profile, MO_Kp/MO_Kd/阻抗参数",待确认,待确认,未从摘要确认,待从 PDF/全文确认,not semantic / not reported,not reported,not confirmed,"Amplitude / assistive torque / SafeTorque, MO_Kp / MO_Kd / MO_OverwriteKpGain",not applicable,not semantic route,79,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 MO_Kp/MO_Kd；可映射到 DMP Amplitude 和 SafeTorque 约束
EMG-based Human-In-The Loop Bayesian Optimization to Assist Free Leg Swinging,2025,Preprints.org,10.20944/preprints202501.1346.v1,abstract_only,参数优化器,low-frequency optimizer,"助力强度/Amplitude/torque profile, tau/持续时间","metabolic cost, EMG reduction/activity","膝力矩/交互力矩, EMG",未从摘要确认,"metabolic cost, EMG reduction/activity",not semantic / not reported,control/impedance parameters,not confirmed,"Amplitude / assistive torque / SafeTorque, tau",not applicable,not semantic route,76,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 DMP Amplitude 和 SafeTorque 约束；涉及本研究不使用的 EMG/IMU，仅作方法参考，不作为直接实现模板
Human-in-the-Loop Optimization of Exoskeleton Assistance Via Online Simulation of Metabolic Cost,2022,IEEE Transactions on Robotics,10.1109/tro.2021.3133137,open_access_pdf,参数优化器,"impedance control, low-frequency optimizer","助力强度/Amplitude/torque profile, MO_Kp/MO_Kd/阻抗参数",metabolic cost,"IMU, 膝力矩/交互力矩",未从摘要确认,metabolic cost,not semantic / not reported,"control/impedance parameters, mode switching / intent",simulation only,"Amplitude / assistive torque / SafeTorque, MO_Kp / MO_Kd / MO_OverwriteKpGain",not applicable,not semantic route,75,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 MO_Kp/MO_Kd；可映射到 DMP Amplitude 和 SafeTorque 约束；涉及本研究不使用的 EMG/IMU，仅作方法参考，不作为直接实现模板
A unilateral robotic knee exoskeleton to assess the role of natural gait assistance in hemiparetic patients,2022,Journal of NeuroEngineering and Rehabilitation,10.1186/s12984-022-01088-2,open_access_pdf,参数优化器,low-frequency optimizer,"助力时机/phase_offset, 助力强度/Amplitude/torque profile, tau/持续时间",gait symmetry,足底压力/力传感,stroke participants/patients（数量待查 PDF）,gait symmetry,not semantic / not reported,"control/impedance parameters, trajectory or gait features",yes/likely,"Amplitude / assistive torque / SafeTorque, phase_offset / Phi / Phase0Event, tau",not applicable,not semantic route,75,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 AO/Phi/Phase0Event 与 phase_offset；可映射到 DMP Amplitude 和 SafeTorque 约束
Precision Interaction Force Control of an Underactuated Hydraulic Stance Leg Exoskeleton Considering the Constraint from the Wearer,2021,Machines,10.3390/machines9050096,manual_pdf,参数优化器,"impedance control, low-frequency optimizer",MO_Kp/MO_Kd/阻抗参数,"interaction torque/force, safety constraint","IMU, 足底压力/力传感",未从摘要确认,"interaction torque/force, safety constraint",not semantic / not reported,"trajectory or gait features, mode switching / intent",simulation only,"MO_Kp / MO_Kd / MO_OverwriteKpGain, SafeTorque / safety constraints",not applicable,not semantic route,75,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 MO_Kp/MO_Kd；涉及本研究不使用的 EMG/IMU，仅作方法参考，不作为直接实现模板
Motion generation for walking exoskeleton robot using multiple dynamic movement primitives sequences combined with reinforcement learning,2022,Robotica,10.1017/s0263574721001934,abstract_only,轨迹生成器/学习器,"impedance control, DMP",MO_Kp/MO_Kd/阻抗参数,stability,待确认,未从摘要确认,stability,not semantic / not reported,"control/impedance parameters, trajectory or gait features, mode switching / intent",yes/likely,MO_Kp / MO_Kd / MO_OverwriteKpGain,not applicable,not semantic route,74,可映射到 MO_Kp/MO_Kd
Personalizing exoskeleton assistance while walking in the real world,2022,Nature,10.1038/s41586-022-05191-1,open_access_pdf,参数优化器,"impedance control, low-frequency optimizer","助力强度/Amplitude/torque profile, MO_Kp/MO_Kd/阻抗参数, tau/持续时间",metabolic cost,待确认,未从摘要确认,metabolic cost,not semantic / not reported,control/impedance parameters,not confirmed,"Amplitude / assistive torque / SafeTorque, tau, MO_Kp / MO_Kd / MO_OverwriteKpGain",not applicable,not semantic route,73,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 MO_Kp/MO_Kd；可映射到 DMP Amplitude 和 SafeTorque 约束
Dynamic movement primitives in robotics: A tutorial survey,2023,The International Journal of Robotics Research,10.1177/02783649231201196,open_access_pdf,轨迹生成器/学习器,"impedance control, DMP, high-level interface",MO_Kp/MO_Kd/阻抗参数,待确认,治疗师/语义输入,未从摘要确认,待从 PDF/全文确认,GUI/button/shared-control interface,mode switching / intent,yes/likely,MO_Kp / MO_Kd / MO_OverwriteKpGain,medium,secondary angle only,73,可映射到 MO_Kp/MO_Kd；语义/治疗师输入可作为高层参数或模式选择接口，但优先级低于优化器和状态估计器
Reducing the energy cost of walking with low assistance levels through optimized hip flexion assistance from a soft exosuit,2022,Scientific Reports,10.1038/s41598-022-14784-9,open_access_pdf,参数优化器,low-frequency optimizer,助力强度/Amplitude/torque profile,metabolic cost,"IMU, 膝力矩/交互力矩",healthy participants（数量待查 PDF）,metabolic cost,not semantic / not reported,trajectory or gait features,simulation only,Amplitude / assistive torque / SafeTorque,not applicable,not semantic route,72,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 DMP Amplitude 和 SafeTorque 约束；涉及本研究不使用的 EMG/IMU，仅作方法参考，不作为直接实现模板
Selection of Muscle-Activity-Based Cost Function in Human-in-the-Loop Optimization of Multi-Gait Ankle Exoskeleton Assistance,2021,IEEE Transactions on Neural Systems and Rehabilitation Engineering,10.1109/tnsre.2021.3082198,open_access_pdf,参数优化器,low-frequency optimizer,"助力强度/Amplitude/torque profile, tau/持续时间",metabolic cost,"IMU, 足底压力/力传感",healthy participants（数量待查 PDF）,metabolic cost,GUI/button/shared-control interface,trajectory or gait features,yes/likely,"Amplitude / assistive torque / SafeTorque, tau",not applicable,not semantic route,72,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 DMP Amplitude 和 SafeTorque 约束；涉及本研究不使用的 EMG/IMU，仅作方法参考，不作为直接实现模板
Optimizing exoskeleton assistance to improve walking speed and energy economy for older adults,2024,Journal of NeuroEngineering and Rehabilitation,10.1186/s12984-023-01287-5,open_access_pdf,参数优化器,low-frequency optimizer,"助力强度/Amplitude/torque profile, tau/持续时间",metabolic cost,"IMU, 膝力矩/交互力矩",healthy participants（数量待查 PDF）,metabolic cost,not semantic / not reported,not reported,not confirmed,"Amplitude / assistive torque / SafeTorque, tau",not applicable,not semantic route,72,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 DMP Amplitude 和 SafeTorque 约束；涉及本研究不使用的 EMG/IMU，仅作方法参考，不作为直接实现模板
Soft wearable flexible bioelectronics integrated with an ankle-foot exoskeleton for estimation of metabolic costs and physical effort,2023,npj Flexible Electronics,10.1038/s41528-023-00239-2,open_access_pdf,参数优化器,low-frequency optimizer,待确认,metabolic cost,足底压力/力传感,未从摘要确认,metabolic cost,not semantic / not reported,not reported,not confirmed,no direct mapping confirmed,not applicable,not semantic route,72,最贴近低频优化 DMP/阻抗参数的接入方式
Framework for Personalizing Wearable Devices Using Real-Time Physiological Measures,2023,IEEE Access,10.1109/access.2023.3299873,manual_pdf,参数优化器,low-frequency optimizer,"助力强度/Amplitude/torque profile, tau/持续时间","metabolic cost, comfort score",足底压力/力传感,未从摘要确认,"metabolic cost, comfort score",not semantic / not reported,"control/impedance parameters, trajectory or gait features",not confirmed,"Amplitude / assistive torque / SafeTorque, tau",not applicable,not semantic route,72,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 DMP Amplitude 和 SafeTorque 约束
"Comprehensive Comparative Analysis of Lower Limb Exoskeleton Research: Control, Design, and Application",2025,,10.20944/preprints202505.2023.v2,abstract_only,状态估计器,"impedance control, high-level interface","助力时机/phase_offset, 助力强度/Amplitude/torque profile, MO_Kp/MO_Kd/阻抗参数","EMG reduction/activity, stability","IMU, 膝力矩/交互力矩, EMG, 治疗师/语义输入",stroke participants/patients（数量待查 PDF）,"EMG reduction/activity, stability",not semantic / not reported,"trajectory or gait features, mode switching / intent",simulation only,"Amplitude / assistive torque / SafeTorque, phase_offset / Phi / Phase0Event, MO_Kp / MO_Kd / MO_OverwriteKpGain",medium,future extension,72,可增强 AO/Phi/Phase0Event 或足底负重/意图估计；可映射到 MO_Kp/MO_Kd；可映射到 AO/Phi/Phase0Event 与 phase_offset；可映射到 DMP Amplitude 和 SafeTorque 约束；语义/治疗师输入可作为高层参数或模式选择接口，但优先级低于优化器和状态估计器；涉及本研究不使用的 EMG/IMU，仅作方法参考，不作为直接实现模板
"Comprehensive Comparative Analysis of Lower Limb Exoskeleton Research: Control, Design, and Application",2025,,10.20944/preprints202505.2023.v1,abstract_only,状态估计器,"impedance control, high-level interface","助力时机/phase_offset, 助力强度/Amplitude/torque profile, MO_Kp/MO_Kd/阻抗参数","EMG reduction/activity, stability","IMU, 膝力矩/交互力矩, EMG, 治疗师/语义输入",stroke participants/patients（数量待查 PDF）,"EMG reduction/activity, stability",not semantic / not reported,"trajectory or gait features, mode switching / intent",simulation only,"Amplitude / assistive torque / SafeTorque, phase_offset / Phi / Phase0Event, MO_Kp / MO_Kd / MO_OverwriteKpGain",medium,future extension,72,可增强 AO/Phi/Phase0Event 或足底负重/意图估计；可映射到 MO_Kp/MO_Kd；可映射到 AO/Phi/Phase0Event 与 phase_offset；可映射到 DMP Amplitude 和 SafeTorque 约束；语义/治疗师输入可作为高层参数或模式选择接口，但优先级低于优化器和状态估计器；涉及本研究不使用的 EMG/IMU，仅作方法参考，不作为直接实现模板
Review on Control Strategies for Lower Limb Rehabilitation Exoskeletons,2021,IEEE Access,10.1109/access.2021.3110595,manual_pdf,参数优化器,"impedance control, low-frequency optimizer, high-level interface",MO_Kp/MO_Kd/阻抗参数,待确认,治疗师/语义输入,未从摘要确认,待从 PDF/全文确认,GUI/button/shared-control interface,"control/impedance parameters, mode switching / intent",not confirmed,MO_Kp / MO_Kd / MO_OverwriteKpGain,medium,future extension,71,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 MO_Kp/MO_Kd；语义/治疗师输入可作为高层参数或模式选择接口，但优先级低于优化器和状态估计器
Learning to Assist Different Wearers in Multitasks: Efficient and Individualized Human-in-the-Loop Adaptation Framework for Lower-Limb Exoskeleton,2024,IEEE Transactions on Robotics,10.1109/tro.2024.3468768,manual_pdf,参数优化器,"impedance control, DMP, low-frequency optimizer","助力强度/Amplitude/torque profile, MO_Kp/MO_Kd/阻抗参数","comfort score, safety constraint",待确认,未从摘要确认,"comfort score, safety constraint",not semantic / not reported,"trajectory or gait features, mode switching / intent",yes/likely,"Amplitude / assistive torque / SafeTorque, MO_Kp / MO_Kd / MO_OverwriteKpGain, SafeTorque / safety constraints",not applicable,not semantic route,71,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 MO_Kp/MO_Kd；可映射到 DMP Amplitude 和 SafeTorque 约束
Human-in-the-loop optimization of wearable device parameters using an EMG-based objective function,2024,Wearable Technologies,10.1017/wtc.2024.9,open_access_pdf,参数优化器,low-frequency optimizer,"助力强度/Amplitude/torque profile, tau/持续时间",EMG reduction/activity,EMG,未从摘要确认,EMG reduction/activity,not semantic / not reported,control/impedance parameters,yes/likely,"Amplitude / assistive torque / SafeTorque, tau",not applicable,not semantic route,71,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 DMP Amplitude 和 SafeTorque 约束；涉及本研究不使用的 EMG/IMU，仅作方法参考，不作为直接实现模板
Human-in-the-loop optimization of active plantarflexion exoskeleton assistance for one individual with chronic stroke,2019,Gait &amp; Posture,10.1016/j.gaitpost.2019.07.155,manual_pdf,参数优化器,"low-frequency optimizer, high-level interface",助力强度/Amplitude/torque profile,gait symmetry,治疗师/语义输入,stroke participants/patients（数量待查 PDF）,gait symmetry,therapist instruction / clinical goal,trajectory or gait features,not confirmed,Amplitude / assistive torque / SafeTorque,medium,future extension,71,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 DMP Amplitude 和 SafeTorque 约束；语义/治疗师输入可作为高层参数或模式选择接口，但优先级低于优化器和状态估计器
"Comparing optimized exoskeleton assistance of the hip, knee, and ankle in single and multi-joint configurations",2021,bioRxiv (Cold Spring Harbor Laboratory),10.1101/2021.02.19.431882,open_access_pdf,参数优化器,low-frequency optimizer,助力强度/Amplitude/torque profile,metabolic cost,IMU,未从摘要确认,metabolic cost,not semantic / not reported,not reported,not confirmed,Amplitude / assistive torque / SafeTorque,not applicable,not semantic route,69,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 DMP Amplitude 和 SafeTorque 约束；涉及本研究不使用的 EMG/IMU，仅作方法参考，不作为直接实现模板
Human-in-the-Loop Optimization of Knee Exoskeleton Assistance for Minimizing User’s Metabolic and Muscular Effort,2024,Sensors,10.3390/s24113305,abstract_only,参数优化器,"PD/torque control, low-frequency optimizer",助力强度/Amplitude/torque profile,"metabolic cost, interaction torque/force",膝力矩/交互力矩,未从摘要确认,"metabolic cost, interaction torque/force",not semantic / not reported,"control/impedance parameters, mode switching / intent",not confirmed,Amplitude / assistive torque / SafeTorque,not applicable,not semantic route,69,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 DMP Amplitude 和 SafeTorque 约束
Dynamic Movement Primitives Based Robot Skills Learning,2023,Machine Intelligence Research,10.1007/s11633-022-1346-z,open_access_pdf,轨迹生成器/学习器,"impedance control, DMP","MO_Kp/MO_Kd/阻抗参数, tau/持续时间",待确认,膝速度,未从摘要确认,待从 PDF/全文确认,not semantic / not reported,"trajectory or gait features, mode switching / intent",yes/likely,"tau, MO_Kp / MO_Kd / MO_OverwriteKpGain",not applicable,not semantic route,68,可映射到 MO_Kp/MO_Kd
Adaptive Modular Neural Control for Online Gait Synchronization and Adaptation of an Assistive Lower-Limb Exoskeleton,2023,IEEE Transactions on Neural Networks and Learning Systems,10.1109/tnnls.2023.3263044,open_access_pdf,参数优化器,"impedance control, low-frequency optimizer","助力时机/phase_offset, 助力强度/Amplitude/torque profile, MO_Kp/MO_Kd/阻抗参数, tau/持续时间",interaction torque/force,膝力矩/交互力矩,未从摘要确认,interaction torque/force,not semantic / not reported,trajectory or gait features,not confirmed,"Amplitude / assistive torque / SafeTorque, phase_offset / Phi / Phase0Event, tau, MO_Kp / MO_Kd / MO_OverwriteKpGain",not applicable,not semantic route,68,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 MO_Kp/MO_Kd；可映射到 AO/Phi/Phase0Event 与 phase_offset；可映射到 DMP Amplitude 和 SafeTorque 约束
Adaptive Gait Planning with Dynamic Movement Primitives for Walking Assistance Lower Exoskeleton in Uphill Slopes,2020,Sensors and Materials,10.18494/sam.2020.2550,open_access_pdf,轨迹生成器/学习器,"impedance control, DMP","助力强度/Amplitude/torque profile, MO_Kp/MO_Kd/阻抗参数",stability,IMU,未从摘要确认,stability,not semantic / not reported,"control/impedance parameters, trajectory or gait features, mode switching / intent",yes/likely,"Amplitude / assistive torque / SafeTorque, MO_Kp / MO_Kd / MO_OverwriteKpGain",not applicable,not semantic route,68,可映射到 MO_Kp/MO_Kd；可映射到 DMP Amplitude 和 SafeTorque 约束；涉及本研究不使用的 EMG/IMU，仅作方法参考，不作为直接实现模板
Distributed Impedance Control of Coordinated Dissimilar Upper-limb Exoskeleton Robots,2023,,10.36227/techrxiv.21679430.v2,abstract_only,参数优化器,"impedance control, low-frequency optimizer",MO_Kp/MO_Kd/阻抗参数,"comfort score, stability","IMU, 足底压力/力传感",未从摘要确认,"comfort score, stability",not semantic / not reported,mode switching / intent,yes/likely,MO_Kp / MO_Kd / MO_OverwriteKpGain,not applicable,not semantic route,68,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 MO_Kp/MO_Kd；涉及本研究不使用的 EMG/IMU，仅作方法参考，不作为直接实现模板
Distributed Impedance Control of Coordinated Dissimilar Upper-Limb Exoskeleton Arms,2023,,10.36227/techrxiv.21679430.v3,abstract_only,参数优化器,"impedance control, low-frequency optimizer",MO_Kp/MO_Kd/阻抗参数,"comfort score, stability","IMU, 足底压力/力传感",未从摘要确认,"comfort score, stability",not semantic / not reported,mode switching / intent,yes/likely,MO_Kp / MO_Kd / MO_OverwriteKpGain,not applicable,not semantic route,68,最贴近低频优化 DMP/阻抗参数的接入方式；可映射到 MO_Kp/MO_Kd；涉及本研究不使用的 EMG/IMU，仅作方法参考，不作为直接实现模板
"Electromyography Signal Acquisition, Filtering, and Data Analysis for Exoskeleton Development",2025,Sensors,10.3390/s25134004,manual_pdf,轨迹生成器/学习器,"impedance control, DMP",MO_Kp/MO_Kd/阻抗参数,EMG reduction/activity,EMG,未从摘要确认,EMG reduction/activity,not semantic / not reported,mode switching / intent,not confirmed,MO_Kp / MO_Kd / MO_OverwriteKpGain,not applicable,not semantic route,67,可映射到 MO_Kp/MO_Kd；涉及本研究不使用的 EMG/IMU，仅作方法参考，不作为直接实现模板
