source_id,title,year,doi,path,words,arc,rehab_context,assistive_need,control_backbone,personalization_gap,ai_optimizer,sensing_state,safety_deployment,contribution_marker
5add3219fb27,A review of current state-of-the-art control methods for lower-limb powered prostheses,2023,10.1016/j.arcontrol.2023.03.003,outputs\text_cache\5add3219fb27.txt,602,assistance benefit -> individual tuning gap,0,1,0,1,0,0,0,0
5c031c3040a7,On human-in-the-loop optimization of human–robot interaction,2024,10.1038/s41586-024-07697-2,outputs\text_cache\5c031c3040a7.txt,209,personalization -> control parameters -> optimizer,0,5,1,2,1,0,0,0
66b609a8c04a,Review on Control Strategies for Lower Limb Rehabilitation Exoskeletons,2021,10.1109/access.2021.3110595,outputs\text_cache\66b609a8c04a.txt,1022,rehabilitation need -> control backbone -> deployability,2,3,1,1,0,1,1,1
6bcae6439c0f,Soft wearable flexible bioelectronics integrated with an ankle-foot exoskeleton for estimation of metabolic costs and physical effort,2023,10.1038/s41528-023-00239-2,outputs\text_cache\6bcae6439c0f.txt,219,assistance benefit -> individual tuning gap,1,3,0,2,1,0,1,0
6d36dce6e344,Learning to Learn Faster from Human Feedback with Language Model Predictive Control,2024,10.48550/arXiv.2402.11450,outputs\text_cache\6d36dce6e344.txt,210,general background -> proposed method,0,0,0,0,0,0,0,0
6e41b7bc5495,Learning Physical Human–Robot Interaction With Coupled Cooperative Primitives for a Lower Exoskeleton,2019,10.1109/tase.2018.2886376,outputs\text_cache\6e41b7bc5495.txt,372,controller capability -> remaining control gap,0,0,4,1,0,0,0,1
6f41123416ee,A Pediatric Knee Exoskeleton With Real-Time Adaptive Control for Overground Walking in Ambulatory Individuals With Cerebral Palsy,2021,10.3389/frobt.2021.702137,outputs\text_cache\6f41123416ee.txt,1303,rehabilitation need -> control backbone -> deployability,4,5,2,1,0,0,3,0
72eb63851611,A Dynamic Movement Primitives-Based Tool Use Skill Learning and Transfer Framework for Robot Manipulation,2024,10.1109/tase.2024.3370139,outputs\text_cache\72eb63851611.txt,239,general background -> proposed method,0,0,0,0,0,0,0,0
7401ccd9499f,A Lower Limb Exoskeleton Adaptive Control Method Based on Model-free Reinforcement Learning and Improved Dynamic Movement Primitives,2025,10.1007/s10846-025-02230-7,outputs\text_cache\7401ccd9499f.txt,141,controller capability -> remaining control gap,0,0,1,0,0,0,4,0
745f0c850005,Exoskeleton Active Walking Assistance Control Framework Based on Frequency Adaptive Dynamics Movement Primitives,2021,10.3389/fnbot.2021.672582,outputs\text_cache\745f0c850005.txt,1057,sensing/state estimation -> control synchronization,1,5,3,1,0,3,0,1
7914c117eb34,Review of control strategies for lower-limb exoskeletons to assist gait,2021,10.1186/s12984-021-00906-3,outputs\text_cache\7914c117eb34.txt,1266,general background -> proposed method,3,4,0,0,0,2,1,1
87a5afbe1e9d,Dynamic movement primitives in robotics: A tutorial survey,2023,10.1177/02783649231201196,outputs\text_cache\87a5afbe1e9d.txt,425,controller capability -> remaining control gap,0,0,2,0,0,0,1,1
87da1ddd76a7,Human-in-the-loop Optimisation in Robot-assisted Gait Training,2025,10.48550/arxiv.2510.05780,outputs\text_cache\87da1ddd76a7.txt,269,assistance benefit -> individual tuning gap,1,2,0,1,0,0,1,0
8d406a1609e8,Enhancing Robotic Manipulation with AI Feedback from Multimodal Large Language Models,2024,10.48550/arXiv.2402.14245,outputs\text_cache\8d406a1609e8.txt,853,personalization -> control parameters -> optimizer,0,0,1,1,1,0,0,3
8dc28f337e70,"Comparing optimized exoskeleton assistance of the hip, knee, and ankle in single and multi-joint configurations",2021,10.1101/2021.02.19.431882,outputs\text_cache\8dc28f337e70.txt,734,general background -> proposed method,1,6,0,0,0,1,0,0
91684a7e3316,A novel gesture interaction control method for rehabilitation lower extremity exoskeleton,2025,10.48550/arXiv.2504.01888,outputs\text_cache\91684a7e3316.txt,1058,rehabilitation need -> control backbone -> deployability,3,3,2,1,0,4,3,1
93494a8d1d1b,Soft Wearable Robots: Development Status and Technical Challenges,2022,10.3390/s22197584,outputs\text_cache\93494a8d1d1b.txt,377,rehabilitation need -> control backbone -> deployability,1,5,2,0,0,2,1,0
999d343ff011,A Novel Balance Control Strategy Based on Enhanced Stability Pyramid Index and Dynamic Movement Primitives for a Lower Limb Human-Exoskeleton System,2021,10.3389/fnbot.2021.751642,outputs\text_cache\999d343ff011.txt,223,general background -> proposed method,1,2,0,0,0,0,2,0
9ae38d52cae7,"Current developments of robotic hip exoskeleton toward sensing, decision, and actuation: A review",2022,10.1017/wtc.2022.11,outputs\text_cache\9ae38d52cae7.txt,446,assistance benefit -> individual tuning gap,1,4,0,1,1,0,1,0
a38292ae5d68,Dynamic Movement Primitives Based Robot Skills Learning,2023,10.1007/s11633-022-1346-z,outputs\text_cache\a38292ae5d68.txt,245,controller capability -> remaining control gap,0,0,2,0,0,0,0,0
a5a14f99c2d3,Upper-Limb Rehabilitation with a Dual-Mode Individualized Exoskeleton Robot: A Generative-Model-Based Solution,2024,10.48550/arXiv.2409.03193,outputs\text_cache\a5a14f99c2d3.txt,247,assistance benefit -> individual tuning gap,3,3,0,1,0,0,1,1
a649dad14589,Virtual Technician: A multi-modal interface facilitating therapists' adoption of rehab robots,2026,10.18416/AUTOMED.2026.2512,outputs\text_cache\a649dad14589.txt,158,general background -> proposed method,1,0,0,1,0,0,0,1
a6ba0a042b07,Reducing the muscle activity of walking using a portable hip exoskeleton based on human-in-the-loop optimization,2023,10.3389/fbioe.2023.1006326,outputs\text_cache\a6ba0a042b07.txt,1210,assistance benefit -> individual tuning gap,1,4,0,2,3,2,2,2
a6be54ba74a9,A Two-Layer Human-in-the-Loop Optimization Framework for Customizing Lower-Limb Exoskeleton Assistance,2023,10.36227/techrxiv.22327378.v1,outputs\text_cache\a6be54ba74a9.txt,454,rehabilitation need -> control backbone -> deployability,1,2,1,1,0,1,1,0
a98695e0fca9,Adaptive Gait Planning with Dynamic Movement Primitives for Walking Assistance Lower Exoskeleton in Uphill Slopes,2020,10.18494/sam.2020.2550,outputs\text_cache\a98695e0fca9.txt,120,general background -> proposed method,1,3,0,0,0,0,0,0
b55733a90483,Model Mediated Teleoperation with a Hand-Arm Exoskeleton in Long Time Delays Using Reinforcement Learning,2020,10.1109/RO-MAN47096.2020.9223477,outputs\text_cache\b55733a90483.txt,720,general background -> proposed method,0,1,0,0,1,0,2,0
c2a94482f061,Explaining Bayesian Optimization by Shapley Values Facilitates Human-AI Collaboration,2024,10.48550/arXiv.2403.04629,outputs\text_cache\c2a94482f061.txt,135,general background -> proposed method,0,0,0,0,1,0,0,0
c47f0131136c,Compensating elastic faults in a torque-assisted knee exoskeleton: functional evaluation and user perception study,2024,10.1186/s12984-024-01531-6,outputs\text_cache\c47f0131136c.txt,1159,rehabilitation need -> control backbone -> deployability,1,5,3,1,0,0,3,1
c6380026955c,Framework for Personalizing Wearable Devices Using Real-Time Physiological Measures,2023,10.1109/access.2023.3299873,outputs\text_cache\c6380026955c.txt,1133,assistance benefit -> individual tuning gap,1,4,0,5,4,2,2,1
d3c9f09991d6,A Bio-Signal Enhanced Adaptive Impedance Controller for Lower Limb Exoskeleton,2020,10.1109/icra40945.2020.9196774,outputs\text_cache\d3c9f09991d6.txt,225,general background -> proposed method,2,2,0,0,0,0,0,0
d3fdcbfd5b0e,LLM-Guided Safety Agent for Edge Robotics with an ISO-Compliant Perception-Compute-Control Architecture,2026,10.48550/arXiv.2604.20193,outputs\text_cache\d3fdcbfd5b0e.txt,307,general background -> proposed method,0,0,0,0,0,1,2,1
d658a012308e,A Two-Layer Human-in-the-Loop Optimization Framework for Customizing Lower-Limb Exoskeleton Assistance,2023,10.36227/techrxiv.22327378,outputs\text_cache\d658a012308e.txt,454,rehabilitation need -> control backbone -> deployability,1,2,1,1,0,1,1,0
df94a96bba05,Inner Monologue: Embodied Reasoning through Planning with Language Models,2023,10.48550/arXiv.2207.05608,outputs\text_cache\df94a96bba05.txt,642,general background -> proposed method,0,0,0,0,1,1,1,1
e331e3cec7af,Shortcomings of human-in-the-loop optimization of an ankle-foot prosthesis emulator: a case series,2021,10.1098/rsos.202020,outputs\text_cache\e331e3cec7af.txt,899,assistance benefit -> individual tuning gap,1,4,0,5,4,1,0,0
e657e38b7b4d,Human-in-the-loop optimization of active plantarflexion exoskeleton assistance for one individual with chronic stroke,2019,10.1016/j.gaitpost.2019.07.155,outputs\text_cache\e657e38b7b4d.txt,674,assistance benefit -> individual tuning gap,1,3,0,1,1,0,2,0
e868bcdd9d52,SMAT: Staged Multi-Agent Training for Co-Adaptive Exoskeleton Control,2026,10.48550/arXiv.2603.07618,outputs\text_cache\e868bcdd9d52.txt,672,assistance benefit -> individual tuning gap,1,3,0,1,1,1,0,1
ea73c58d5180,Design optimization platform for assistive wearable devices applied to a knee damper exoskeleton,2025,10.1017/wtc.2025.10016,outputs\text_cache\ea73c58d5180.txt,196,assistance benefit -> individual tuning gap,0,1,0,1,1,0,1,0
eafa4d8ec3bb,A Framework for Composite Layup Skill Learning and Generalizing Through Teleoperation,2022,10.3389/fnbot.2022.840240,outputs\text_cache\eafa4d8ec3bb.txt,487,general background -> proposed method,1,1,0,0,0,0,0,1
edbbb6e519f9,Selection of Muscle-Activity-Based Cost Function in Human-in-the-Loop Optimization of Multi-Gait Ankle Exoskeleton Assistance,2021,10.1109/tnsre.2021.3082198,outputs\text_cache\edbbb6e519f9.txt,422,rehabilitation need -> control backbone -> deployability,2,2,1,1,0,1,2,0
f323e8ad9561,VoxPoser: Composable 3D Value Maps for Robotic Manipulation with Language Models,2023,10.48550/arXiv.2307.05973,outputs\text_cache\f323e8ad9561.txt,492,general background -> proposed method,0,0,0,1,0,0,1,0
f62b991681a5,Lower limb biomechanics of fully trained exoskeleton users reveal complex mechanisms behind the reductions in energy cost with human-in-the-loop optimization,2024,10.3389/frobt.2024.1283080,outputs\text_cache\f62b991681a5.txt,721,assistance benefit -> individual tuning gap,1,4,1,2,0,0,0,1
fed439bb5ce1,ANFIS to estimate damping coefficient from EMG to optimize the interaction force,2016,10.1109/microcom.2016.7522589,outputs\text_cache\fed439bb5ce1.txt,432,general background -> proposed method,2,0,0,1,0,2,1,1
