rank,title,year,venue,doi,pdf_status,light_score,ai_role_light,matched_keywords,matched_system_terms,why_light_rank,evidence_card
11,Design optimization platform for assistive wearable devices applied to a knee damper exoskeleton,2025,Wearable Technologies,10.1017/wtc.2025.10016,manual_pdf,170,parameter optimizer,human-in-the-loop; bayesian optimization; cma-es; dmp; stiffness; damping; knee; exoskeleton; phase; stroke; torque; metabolic,amplitude,matches low-frequency HIL/Bayesian/CMA-ES optimization priority; mentions DMP/impedance control substrate; has possible mapping to current Simulink/Speedgoat parameters,outputs\evidence_cards\ea73c58d5180.md
12,Shaping high-performance wearable robots for human motor and sensory reconstruction and enhancement,2024,Nature Communications,10.1038/s41467-024-46249-0,open_access_pdf,168,parameter optimizer,human-in-the-loop; bayesian optimization; dmp; impedance; knee; exoskeleton; wearable robot; intent; adaptive; co-adaptive; reinforcement learning; musculoskeletal; torque; metabolic,,matches low-frequency HIL/Bayesian/CMA-ES optimization priority; mentions DMP/impedance control substrate; supports phase/load/intent estimation route; uses unavailable sensor(s) EMG; method reference only,outputs\evidence_cards\59b9181394a1.md
13,Human-in-the-Loop Optimization for Knee Exoskeleton Flexion Assistance,2025,IEEE Robotics and Automation Letters,10.1109/lra.2025.3526558,manual_pdf,168,parameter optimizer,human-in-the-loop; bayesian optimization; dmp; impedance; stiffness; damping; knee; exoskeleton; gait phase; phase; adaptive; reinforcement learning; torque; metabolic,amplitude; safetorque,matches low-frequency HIL/Bayesian/CMA-ES optimization priority; mentions DMP/impedance control substrate; supports phase/load/intent estimation route; has possible mapping to current Simulink/Speedgoat parameters; uses unavailable sensor(s) EMG/IMU; method reference only,outputs\evidence_cards\5aea18d4e025.md
14,A Two-Layer Human-in-the-Loop Optimization Framework for Customizing Lower-Limb Exoskeleton Assistance,2023,,10.36227/techrxiv.22327378.v1,manual_pdf,163,parameter optimizer,human-in-the-loop; bayesian optimization; dmp; impedance; knee; exoskeleton; reinforcement learning; musculoskeletal; hip exoskeleton; torque; metabolic,amplitude; safetorque,matches low-frequency HIL/Bayesian/CMA-ES optimization priority; mentions DMP/impedance control substrate; has possible mapping to current Simulink/Speedgoat parameters; uses unavailable sensor(s) EMG/IMU; method reference only,outputs\evidence_cards\a6be54ba74a9.md
15,Selection of Muscle-Activity-Based Cost Function in Human-in-the-Loop Optimization of Multi-Gait Ankle Exoskeleton Assistance,2021,IEEE Transactions on Neural Systems and Rehabilitation Engineering,10.1109/tnsre.2021.3082198,open_access_pdf,156,parameter optimizer,human-in-the-loop; bayesian optimization; dmp; impedance; damping; knee; exoskeleton; wearable robot; adaptive; co-adaptive; torque; metabolic,amplitude; tau; kd; safetorque,matches low-frequency HIL/Bayesian/CMA-ES optimization priority; mentions DMP/impedance control substrate; has possible mapping to current Simulink/Speedgoat parameters; uses unavailable sensor(s) EMG/IMU; method reference only,outputs\evidence_cards\edbbb6e519f9.md
16,"Current developments of robotic hip exoskeleton toward sensing, decision, and actuation: A review",2022,Wearable Technologies,10.1017/wtc.2022.11,open_access_pdf,155,parameter optimizer,human-in-the-loop; bayesian optimization; dmp; impedance; stiffness; knee; exoskeleton; gait phase; phase; adaptive; hip exoskeleton; safety; torque; metabolic,phase_offset; phi; phase0event,matches low-frequency HIL/Bayesian/CMA-ES optimization priority; mentions DMP/impedance control substrate; supports phase/load/intent estimation route; has possible mapping to current Simulink/Speedgoat parameters; uses unavailable sensor(s) EMG/IMU; method reference only,outputs\evidence_cards\9ae38d52cae7.md
17,Ultra-Robust Real-Time Estimation of Gait Phase,2022,IEEE Transactions on Neural Systems and Rehabilitation Engineering,10.1109/tnsre.2022.3207919,manual_pdf,153,parameter optimizer,bayesian optimization; dmp; impedance; knee; exoskeleton; gait phase; phase; ground contact; adaptive; hip exoskeleton; stroke,phase_offset; tau; phi; phase0event,matches low-frequency HIL/Bayesian/CMA-ES optimization priority; mentions DMP/impedance control substrate; supports phase/load/intent estimation route; has possible mapping to current Simulink/Speedgoat parameters; uses unavailable sensor(s) IMU; method reference only,outputs\evidence_cards\ac04ab52a75d.md
18,Optimizing Exoskeleton Assistance for Faster Self-Selected Walking,2021,IEEE Transactions on Neural Systems and Rehabilitation Engineering,10.1109/tnsre.2021.3074154,open_access_pdf,153,parameter optimizer,human-in-the-loop; cma-es; covariance matrix adaptation; dmp; knee; exoskeleton; musculoskeletal; stroke; safety; torque; metabolic,amplitude; tau; safetorque,matches low-frequency HIL/Bayesian/CMA-ES optimization priority; mentions DMP/impedance control substrate; has possible mapping to current Simulink/Speedgoat parameters,outputs\evidence_cards\bee1b728570d.md
19,Dynamic movement primitives in robotics: A tutorial survey,2023,The International Journal of Robotics Research,10.1177/02783649231201196,open_access_pdf,151,parameter optimizer,cma-es; covariance matrix adaptation; dmp; dynamic movement primitive; impedance; stiffness; damping; exoskeleton; phase; reinforcement learning; torque,amplitude; kp,matches low-frequency HIL/Bayesian/CMA-ES optimization priority; mentions DMP/impedance control substrate; has possible mapping to current Simulink/Speedgoat parameters; uses unavailable sensor(s) EMG; method reference only,outputs\evidence_cards\87a5afbe1e9d.md
20,Human-In-The-Loop Optimization of A Wearable Robot Using Foot Pressure Sensors,2021,Research Square,10.21203/rs.3.rs-1186504/v1,open_access_pdf,151,parameter optimizer,human-in-the-loop; bayesian optimization; dmp; stiffness; knee; exoskeleton; wearable robot; phase; foot pressure; safety; torque; metabolic,amplitude; phase_offset; safetorque; phi; phase0event,matches low-frequency HIL/Bayesian/CMA-ES optimization priority; mentions DMP/impedance control substrate; supports phase/load/intent estimation route; has possible mapping to current Simulink/Speedgoat parameters; uses unavailable sensor(s) EMG/IMU; method reference only,outputs\evidence_cards\e495c683a394.md
21,"Electromyography Signal Acquisition, Filtering, and Data Analysis for Exoskeleton Development",2025,Sensors,10.3390/s25134004,manual_pdf,150,parameter optimizer,human-in-the-loop; bayesian optimization; impedance; stiffness; knee; exoskeleton; intent; adaptive; reinforcement learning; musculoskeletal; hip exoskeleton; torque,amplitude,matches low-frequency HIL/Bayesian/CMA-ES optimization priority; mentions DMP/impedance control substrate; supports phase/load/intent estimation route; has possible mapping to current Simulink/Speedgoat parameters; uses unavailable sensor(s) EMG/IMU; method reference only,outputs\evidence_cards\1253ca971f6a.md
22,Optimized hip-knee-ankle exoskeleton assistance reduces the metabolic cost of walking with worn loads,2021,Journal of NeuroEngineering and Rehabilitation,10.1186/s12984-021-00955-8,open_access_pdf,148,parameter optimizer,human-in-the-loop; cma-es; dmp; damping; knee; exoskeleton; phase; safety; torque; metabolic,amplitude; phase_offset; safetorque; phi; phase0event,matches low-frequency HIL/Bayesian/CMA-ES optimization priority; mentions DMP/impedance control substrate; has possible mapping to current Simulink/Speedgoat parameters,outputs\evidence_cards\35608be3edbf.md
23,SMAT: Staged Multi-Agent Training for Co-Adaptive Exoskeleton Control,2026,arXiv,10.48550/arXiv.2603.07618,open_access_pdf,148,parameter optimizer,dmp; knee; exoskeleton; gait phase; phase; adaptive; co-adaptive; multi-agent; staged; reinforcement learning; musculoskeletal; hip exoskeleton; physical hip exoskeleton; safety; torque,amplitude; phase_offset; safetorque; phi; phase0event,mentions DMP/impedance control substrate; supports phase/load/intent estimation route; has possible mapping to current Simulink/Speedgoat parameters; uses unavailable sensor(s) EMG/IMU; method reference only,outputs\evidence_cards\e868bcdd9d52.md
24,Reducing the energy cost of walking with low assistance levels through optimized hip flexion assistance from a soft exosuit,2022,Scientific Reports,10.1038/s41598-022-14784-9,open_access_pdf,147,parameter optimizer,human-in-the-loop; bayesian optimization; cma-es; dmp; stiffness; knee; exoskeleton; adaptive; stroke; torque; metabolic,amplitude; safetorque,matches low-frequency HIL/Bayesian/CMA-ES optimization priority; mentions DMP/impedance control substrate; has possible mapping to current Simulink/Speedgoat parameters; uses unavailable sensor(s) EMG/IMU; method reference only,outputs\evidence_cards\504d476eb08a.md
25,Human-in-the-Loop Optimization of Exoskeleton Assistance Via Online Simulation of Metabolic Cost,2022,IEEE Transactions on Robotics,10.1109/tro.2021.3133137,open_access_pdf,146,parameter optimizer,human-in-the-loop; bayesian optimization; covariance matrix adaptation; dmp; stiffness; exoskeleton; phase; adaptive; musculoskeletal; hip exoskeleton; safety; torque; metabolic,amplitude; safetorque,matches low-frequency HIL/Bayesian/CMA-ES optimization priority; mentions DMP/impedance control substrate; has possible mapping to current Simulink/Speedgoat parameters; uses unavailable sensor(s) EMG/IMU; method reference only,outputs\evidence_cards\555d922334ca.md
26,"Improving CMA-ES Convergence Speed, Efficiency, and Reliability in Noisy Robot Optimization Problems",2026,ArXiv.org,,open_access_pdf,146,parameter optimizer,human-in-the-loop; bayesian optimization; cma-es; dmp; impedance; knee; exoskeleton; adaptive; reinforcement learning; torque; metabolic,amplitude; tau; safetorque,matches low-frequency HIL/Bayesian/CMA-ES optimization priority; mentions DMP/impedance control substrate; has possible mapping to current Simulink/Speedgoat parameters; uses unavailable sensor(s) EMG/IMU; method reference only,outputs\evidence_cards\2a1494f4efd8.md
27,Reducing Squat Physical Effort Using Personalized Assistance From an Ankle Exoskeleton,2022,IEEE Transactions on Neural Systems and Rehabilitation Engineering,10.1109/tnsre.2022.3186692,open_access_pdf,143,parameter optimizer,human-in-the-loop; bayesian optimization; dmp; knee; exoskeleton; phase; foot pressure; reinforcement learning; musculoskeletal; hip exoskeleton; stroke; safety; torque; metabolic,amplitude; safetorque,matches low-frequency HIL/Bayesian/CMA-ES optimization priority; mentions DMP/impedance control substrate; supports phase/load/intent estimation route; has possible mapping to current Simulink/Speedgoat parameters; uses unavailable sensor(s) EMG/IMU; method reference only,outputs\evidence_cards\7fcc9fb4a50a.md
28,Simplifying rehabilitation control of lower-limb exoskeletons in five ambulation modes via dataset-driven state-machine calibration,2026,Journal of NeuroEngineering and Rehabilitation,10.1186/s12984-026-01917-8,open_access_pdf,140,state estimator,dmp; impedance; stiffness; damping; knee; exoskeleton; gait phase; phase; ground contact; adaptive; safety; torque,amplitude; phase_offset; tau; safetorque; phi; phase0event,mentions DMP/impedance control substrate; supports phase/load/intent estimation route; has possible mapping to current Simulink/Speedgoat parameters; uses unavailable sensor(s) EMG/IMU; method reference only,outputs\evidence_cards\4a636ace8994.md
29,Shortcomings of human-in-the-loop optimization of an ankle-foot prosthesis emulator: a case series,2021,Royal Society Open Science,10.1098/rsos.202020,manual_pdf,140,parameter optimizer,human-in-the-loop; bayesian optimization; cma-es; dmp; stiffness; knee; exoskeleton; wearable robot; phase; torque; metabolic,,matches low-frequency HIL/Bayesian/CMA-ES optimization priority; mentions DMP/impedance control substrate,outputs\evidence_cards\e331e3cec7af.md
30,Learning Cooperative Primitives with physical Human-Robot Interaction for a HUman-powered Lower EXoskeleton,2016,,10.1109/iros.2016.7759787,manual_pdf,137,parameter optimizer,dmp; dynamic movement primitive; impedance; stiffness; knee; exoskeleton; phase; adaptive; reinforcement learning; torque,amplitude; kp; kd; safetorque,mentions DMP/impedance control substrate; has possible mapping to current Simulink/Speedgoat parameters,outputs\evidence_cards\20bebe804be2.md
